Incident Day of Week,Incident Category
Friday,Malicious Mischief
Tuesday,Larceny Theft
Tuesday,Larceny Theft
Friday,Motor Vehicle Theft
Sunday,Burglary
Wednesday,Larceny Theft
Saturday,Malicious Mischief
Thursday,Larceny Theft
Friday,Larceny Theft
Wednesday,Larceny Theft
Thursday,Larceny Theft
Sunday,Larceny Theft
Wednesday,Larceny Theft
Friday,Malicious Mischief
Sunday,Larceny Theft
Saturday,Larceny Theft
Monday,Larceny Theft
Friday,Motor Vehicle Theft
Friday,Larceny Theft
Sunday,Larceny Theft
Thursday,Larceny Theft
Saturday,Larceny Theft
Saturday,Motor Vehicle Theft
Tuesday,Motor Vehicle Theft
Friday,Malicious Mischief
Saturday,Larceny Theft
Wednesday,Larceny Theft
Saturday,Larceny Theft
Sunday,Larceny Theft
Monday,Larceny Theft
Monday,Larceny Theft
Wednesday,Larceny Theft
Wednesday,Larceny Theft
Monday,Larceny Theft
Sunday,Malicious Mischief
Friday,Larceny Theft
Tuesday,Larceny Theft
Sunday,Larceny Theft
Monday,Larceny Theft
Thursday,Larceny Theft
Tuesday,Larceny Theft
Tuesday,Larceny Theft
Friday,Larceny Theft
Tuesday,Larceny Theft
Sunday,Larceny Theft
Sunday,Larceny Theft
Thursday,Larceny Theft
Sunday,Larceny Theft
Tuesday,Larceny Theft
Friday,Larceny Theft
Wednesday,Larceny Theft
Wednesday,Assault
Monday,Larceny Theft
Tuesday,Larceny Theft
Sunday,Assault
Sunday,Assault
Sunday,Larceny Theft
Wednesday,Larceny Theft
Friday,Larceny Theft
Wednesday,Assault
Saturday,Larceny Theft
Saturday,Larceny Theft
Thursday,Motor Vehicle Theft
Sunday,Larceny Theft
Monday,Malicious Mischief
Sunday,Malicious Mischief
Tuesday,Larceny Theft
Saturday,Assault
Friday,Malicious Mischief
Saturday,Larceny Theft
Monday,Larceny Theft
Wednesday,Larceny Theft
Wednesday,Malicious Mischief
Wednesday,Larceny Theft
Saturday,Larceny Theft
Tuesday,Larceny Theft
Wednesday,Larceny Theft
Thursday,Larceny Theft
Sunday,Larceny Theft
Saturday,Larceny Theft
Thursday,Larceny Theft
Monday,Malicious Mischief
Wednesday,Larceny Theft
Friday,Larceny Theft
Saturday,Motor Vehicle Theft
Saturday,Malicious Mischief
Wednesday,Assault
Sunday,Larceny Theft
Thursday,Larceny Theft
Friday,Larceny Theft
Wednesday,Larceny Theft
Thursday,Larceny Theft
Saturday,Larceny Theft
Thursday,Motor Vehicle Theft
Friday,Larceny Theft
Wednesday,Larceny Theft
Sunday,Larceny Theft
Wednesday,Assault
Tuesday,Larceny Theft
Friday,Larceny Theft
Monday,Larceny Theft
Friday,Larceny Theft
Monday,Assault
Sunday,Larceny Theft
Monday,Malicious Mischief
Sunday,Larceny Theft
Sunday,Larceny Theft
Tuesday,Motor Vehicle Theft
Friday,Motor Vehicle Theft
Monday,Larceny Theft
Tuesday,Larceny Theft
Tuesday,Motor Vehicle Theft
Saturday,Larceny Theft
Monday,Larceny Theft
Friday,Larceny Theft
Sunday,Larceny Theft
Thursday,Larceny Theft
Wednesday,Larceny Theft
Saturday,Larceny Theft
Sunday,Assault
Sunday,Burglary
Tuesday,Larceny Theft
Wednesday,Larceny Theft
Saturday,Malicious Mischief
Monday,Larceny Theft
Thursday,Larceny Theft
Thursday,Assault
Thursday,Motor Vehicle Theft
Friday,Larceny Theft
Thursday,Larceny Theft
Sunday,Assault
Sunday,Larceny Theft
Saturday,Larceny Theft
Wednesday,Larceny Theft
Tuesday,Larceny Theft
Monday,Assault
Sunday,Larceny Theft
Saturday,Larceny Theft
Monday,Larceny Theft
Saturday,Larceny Theft
Saturday,Larceny Theft
Friday,Motor Vehicle Theft
Friday,Larceny Theft
Tuesday,Assault
Wednesday,Larceny Theft
Wednesday,Larceny Theft
Monday,Larceny Theft
Saturday,Assault
Monday,Larceny Theft
Monday,Assault
Monday,Larceny Theft
Friday,Larceny Theft
Monday,Malicious Mischief
Wednesday,Larceny Theft
Sunday,Larceny Theft
Wednesday,Larceny Theft
Monday,Larceny Theft
Monday,Assault
Sunday,Larceny Theft
Tuesday,Assault
Tuesday,Motor Vehicle Theft
Monday,Larceny Theft
Thursday,Larceny Theft
Tuesday,Larceny Theft
Monday,Larceny Theft
Saturday,Larceny Theft
Tuesday,Larceny Theft
Saturday,Larceny Theft
Saturday,Larceny Theft
Tuesday,Motor Vehicle Theft
Tuesday,Larceny Theft
Thursday,Larceny Theft
Wednesday,Larceny Theft
Wednesday,Larceny Theft
Thursday,Larceny Theft
Friday,Larceny Theft
Sunday,Larceny Theft
Wednesday,Larceny Theft
Monday,Larceny Theft
Monday,Larceny Theft
Tuesday,Larceny Theft
Friday,Larceny Theft
Saturday,Larceny Theft
Thursday,Motor Vehicle Theft
Wednesday,Larceny Theft
Sunday,Larceny Theft
Sunday,Assault
Thursday,Larceny Theft
Sunday,Larceny Theft
Sunday,Larceny Theft
Saturday,Larceny Theft
Thursday,Larceny Theft
Monday,Larceny Theft
